Question,Answer
What causes Nephrotic Syndrome in Adults ?,"Nephrotic syndrome can be caused by diseases that affect only the kidneys, such as focal segmental glomerulosclerosis (FSGS) or membranous nephropathy. Diseases that affect only the kidneys are called primary causes of nephrotic syndrome. The glomeruli are usually the targets of these diseases for reasons that are not fully understood. In FSGSthe most common primary cause of nephrotic syndromescar tissue forms in parts of the glomeruli. In membranous nephropathy, immune molecules form harmful deposits on the glomeruli.
  
 Nephrotic syndrome can also be caused by systemic diseases, which are diseases that affect many parts of the body, such as diabetes or lupus. Systemic diseases that affect the kidneys are called secondary causes of nephrotic syndrome. More than 50 percent of nephrotic syndrome cases in adults have secondary causes, with diabetes being the most common.1"
What are the symptoms of Nephrotic Syndrome in Adults ?,"In addition to proteinuria, hyperlipidemia, edema, and hypoalbumina, people with nephrotic syndrome may experience
  
 - weight gain - fatigue - foamy urine - loss of appetite"
What are the complications of Nephrotic Syndrome in Adults ?,"The loss of different proteins from the body can lead to a variety of complications in people with nephrotic syndrome. Blood clots can form when proteins that normally prevent them are lost through the urine. Blood clots can block the flow of blood and oxygen through a blood vessel. Loss of immunoglobulinsimmune system proteins that help fight disease and infectionleads to an increased risk of infections. These infections include pneumonia, a lung infection; cellulitis, a skin infection; peritonitis, an abdominal infection; and meningitis, a brain and spine infection. Medications given to treat nephrotic syndrome can also increase the risk of these infections. Other complications of nephrotic syndrome include
  
 - hypothyroidisma condition in which the thyroid gland does not produce enough thyroid hormone to meet the bodys needs - anemiaa condition in which red blood cells are fewer or smaller than normal, which means less oxygen is carried to the bodys cells - coronary artery disease, also called coronary heart diseaseheart disease caused by narrowing of the arteries that supply blood to the heart - high blood pressure, also called hypertensiona condition in which blood flows through the blood vessels with a force greater than normal - acute kidney injurysudden and temporary loss of kidney function"
How to diagnose Nephrotic Syndrome in Adults ?,"Urine samples are taken to diagnose people suspected of having nephrotic syndrome.
  
 Nephrotic syndrome is diagnosed when large amounts of protein are found in the urine. The blood protein albumin makes up much of the protein that is lost, though many other important proteins are also lost in nephrotic syndrome.
  
 The presence of albumin in the urine can be detected with a dipstick test performed on a urine sample. The urine sample is collected in a special container in a health care providers office or commercial facility and can be tested in the same location or sent to a lab for analysis. For the test, a nurse or technician places a strip of chemically treated paper, called a dipstick, into the urine. Patches on the dipstick change color when protein is present in urine.
  
 A more precise measurement is usually needed to confirm the diagnosis. Either a single urine sample or a 24-hour collection of urine can be sent to a lab for analysis. With the single urine sample, the lab measures both albumin and creatinine, a waste product of normal muscle breakdown. The comparison of the measurements is called a urine albumin-to-creatinine ratio. A urine sample containing more than 30 milligrams of albumin for each gram of creatinine may signal a problem. With a 24-hour collection of urine, the lab measures only the amount of albumin present. The single urine sample is easier to collect than the 24-hour sample and is usually sufficient to confirm diagnosis, though the 24-hour collection may be used in some cases.
  
 Once nephrotic syndrome is diagnosed, blood tests are usually needed to check for systemic diseases that may be causing the nephrotic syndrome and to find out how well the kidneys are working overall. A blood test involves drawing blood at a health care providers office or commercial facility and sending the sample to a lab for analysis.
  
 Though blood tests can point toward systemic diseases, a kidney biopsy is usually needed to diagnose the specific underlying disease causing the nephrotic syndrome and to determine the best treatment. A kidney biopsy is a procedure that involves taking a piece of kidney tissue for examination with a microscope. Kidney biopsies are performed by a health care provider in a hospital with light sedation and local anesthetic. A biopsy is often not needed for a person with diabetes because the persons medical history and lab tests may be enough to diagnose the problem as being a result of diabetes."
What is (are) Cushing disease ?,"Cushing disease is a condition caused by elevated levels of a hormone called cortisol. It is part of a group of diseases known as Cushings syndrome. The signs and symptoms include weight gain around the trunk and in the face, stretch marks, easy bruising, a hump on the upper back, muscle weakness, tiredness, thin bones that are prone to fracture (osteoporosis), mood disorders and memory problems. Patients also have an increased risk of infections, high blood pressure and diabetes. Women may have irregular menses and a lot of hair in the body (hirsutism). Cushing disease occurs when a benign pituitary tumor (adenoma) or pituitary hyperplasia causes the adrenal glands to produce large amounts of cortisol. The genetic cause of Cushing disease is often unknown but some cases are caused by somatic mutations in genes involved in hormonal activity. Most cases occur sporadically in people with no family history of the condition. Rarely, Cushing disease can be inherited, either as an isolated condition or as part of a genetic syndrome (such as multiple endocrine neoplasia type 1 (MEN1) and familial isolated pituitary adenoma). Treatment generally involves surgery to remove the tumor and medications to decrease cortisol levels."
What is (are) Chiari malformation ?,"Chiari malformations are structural defects in the cerebellum, the part of the brain that controls balance. When the indented bony space at the lower rear of the skull is smaller than normal, the cerebellum and brainstem can be pushed downward. The resulting pressure on the cerebellum can block the flow of cerebrospinal fluid (the liquid that surrounds and protects the brain and spinal cord) and can cause a range of symptoms including dizziness, muscle weakness, numbness, vision problems, headache, and problems with balance and coordination. Treatment may require surgery. Many patients with the more severe types of Chiari malformations who undergo surgery see a reduction in their symptoms and/or prolonged periods of relative stability, however paralysis is generally permanent despite surgery. There are four types of Chiari malformations. The types tend to correspond with the degree of severity, with type 1 being the most common and least severe. Some people with type 1 have no symptoms and do not require treatment. Chiari malformation type 1 Chiari malformation type 2 Chiari malformation type 3 Chiari malformation type 4"
What is (are) Fowler's syndrome ?,Fowlers syndrome is characterized by urinary retention associated with abnormal electromyographic activity in young women in the absence of overt neurologic disease. Some women with this syndrome have polycystic ovaries as well.
What are the symptoms of Fowler's syndrome ?,"What are the signs and symptoms of Fowler's syndrome? Fowlers syndrome typically occurs in premenopausal women (often in women under 30 years of age) who are unable to void for a day or more with no feeling of urinary urgency, but with increasing lower abdominal discomfort. The Human Phenotype Ontology provides the following list of signs and symptoms for Fowler's syndrome. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of the urethra 90% Acne 90% Hypertrichosis 90% Polycystic ovaries 90% The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common."
What are the treatments for Pineocytoma ?,"How might a pineocytoma be treated? Because pineocytomas are quite rare, there are no consensus guidelines on the best treatment for these tumors. However, surgery to remove the entire tumor is considered the standard treatment. Because these tumors are located deep in the brain, it is important that the risks of surgery be carefully considered in each person. Radiation therapy is sometimes used following surgery to destroy any tumor cells that may remain, but the benefit of this additional treatment is questionable."
What is (are) Sertoli cell-only syndrome ?,"Sertoli cell-only syndrome (SCO syndrome) is a condition of the testes that causes infertility in males due to having only Sertoli cells (cells that nurture immature sperm) lining the seminiferous tubules (tubes inside the testicles where sperm develop). Men typically learn they are affected between ages 20-40 when being evaluated for infertility and are found to have no sperm production (azoospermia). The diagnosis is made based on testicular biopsy findings. Other signs and symptoms are rare, but are secondary to the underlying condition causing SCO syndrome. Most cases are idiopathic (of unknown cause), but causes may include deletions in the azoospermia factor (AZF) region of the Y chromosome, or Y-chromosome microdeletions (referred to as Y chromosome infertility); Klinefelter syndrome; exposure to chemicals and toxins; history of radiation therapy; and history of severe trauma. There is not currently a known effective treatment for the condition. When no germ cells are visible in any seminiferous tubules it is considered SCO type I; if germ cells are present in a minority of tubules is it considered SCO type II."
What is (are) Medullary cystic kidney disease ?,"Medullary cystic kidney disease (MCKD) is a chronic, progressive kidney disease characterized by the presence of small renal cysts that eventually lead to end stage renal failure. Symptoms typically appear at an average age of 28 years and may include polyuria (excessive production or passage of urine) and low urinary osmolality (decreased concentration) in the first morning urine. Later, symptoms of renal insufficiency typically progress to include anemia, metabolic acidosis and uremia. End stage renal disease (ESRD) eventually follows. There are 2 types of MCKD, which are both inherited in an autosomal dominant manner but are caused by mutations in different genes. MCKD 1 is caused by mutations in the MCKD1 gene (which has not yet been identified) and MCKD 2 is caused by mutations in the UMOD gene. The 2 types also differ by MCKD 1 being associated with ESRD at an average age of 62 years, while MCKD 2 is associated with ESRD around 32 years and is more likely to be associated with hyperuricemia and gout. Treatment for MCKD may include correction of water and electrolyte imbalances, and dialysis followed by renal transplantation for end-stage renal failure."
"What are the symptoms of Short stature syndrome, Brussels type ?","What are the signs and symptoms of Short stature syndrome, Brussels type? The Human Phenotype Ontology provides the following list of signs and symptoms for Short stature syndrome, Brussels type. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of metabolism/homeostasis - Delayed epiphyseal ossification - Horseshoe kidney - Microretrognathia - Narrow chest - Relative macrocephaly - Short stature - Triangular face - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common."
What are the symptoms of Palmer Pagon syndrome ?,"What are the signs and symptoms of Palmer Pagon syndrome? The Human Phenotype Ontology provides the following list of signs and symptoms for Palmer Pagon syndrome. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormal nasal morphology 90% Abnormality of the thorax 90% Abnormality of the urinary system 90% Communicating hydrocephalus 90% Epicanthus 90% Hernia of the abdominal wall 90% Anomalous pulmonary venous return 50% Patent ductus arteriosus 50% Tetralogy of Fallot 50% The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common."
What are the symptoms of Lafora disease ?,"What are the signs and symptoms of Lafora disease? The signs and symptoms of Lafora disease generally appear during late childhood or adolescence. Prior to the onset of symptoms, affected children appear to have normal development although some may have isolated febrile or nonfebrile convulsions in infancy or early childhood. The most common feature of Lafora disease is recurrent seizures. Several different types of seizures have been reported including generalized tonic-clonic seizures, occipital seizures (which can cause temporary blindness and visual hallucinations) and myoclonic seizures. These seizures are considered ""progressive"" because they generally become worse and more difficult to treat over time. With the onset of seizures, people with Lafora disease often begin showing signs of cognitive decline. This may include behavioral changes, depression, confusion, ataxia (difficulty controlling muscles), dysarthria, and eventually, dementia. By the mid-twenties, most affected people lose the ability to perform the activities of daily living; have continuous myoclonus; and require tube feeding and comprehensive care. The Human Phenotype Ontology provides the following list of signs and symptoms for Lafora disease. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of metabolism/homeostasis - Absence seizures - Apraxia - Autosomal recessive inheritance - Bilateral convulsive seizures - Cutaneous photosensitivity - Dementia - Gait disturbance - Generalized myoclonic seizures - Generalized tonic-clonic seizures - Hepatic failure - Heterogeneous - Myoclonus - Progressive neurologic deterioration - Psychosis - Rapidly progressive - Visual auras - Visual hallucinations - Visual loss - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common."
How to diagnose Lafora disease ?,"How is Lafora disease diagnosed? A diagnosis of Lafora disease is often suspected based on the presence of characteristic signs and symptoms. Additional testing can then be ordered to confirm the diagnosis and rule out other conditions that may cause similar features. For example, a skin biopsy may be performed to detect ""Lafora bodies"" (clumps of abnormal glycogen that cannot be broken down and used for fuel) which are found in most people with the condition. Genetic testing for changes (mutations) in either the EPM2A gene or the NHLRC1 gene may be used to confirm the diagnosis in some cases. An EEG and an MRI of the brain are generally recommended in all people with recurrent seizures and are useful in investigating other conditions in the differential diagnosis. GeneReview's Web site offers more specific information regarding the diagnosis of Lafora disease. Please click on the link to access this resource."
What are the symptoms of Kyrle disease ?,"What are the signs and symptoms of Kyrle disease? The Human Phenotype Ontology provides the following list of signs and symptoms for Kyrle disease. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of the skin - Autosomal dominant inheritance - Posterior subcapsular cataract - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common."
What is (are) Hemophilia B ?,"Hemophilia B is a bleeding disorder that slows the blood clotting process. People with this disorder experience prolonged bleeding or oozing following an injury or surgery. In severe cases of hemophilia, heavy bleeding occurs after minor injury or even in the absence of injury. Serious complications can result from bleeding into the joints, muscles, brain, or other internal organs. Milder forms may not become apparent until abnormal bleeding occurs following surgery or a serious injury. People with an unusual form of hemophilia B, known as hemophilia B Leyden, experience episodes of excessive bleeding in childhood but have few bleeding problems after puberty. Hemophilia B is inherited in an X-linked recessive pattern and is caused by mutations in the F9 gene."
What are the symptoms of Hemophilia B ?,"What are the signs and symptoms of Hemophilia B? The Human Phenotype Ontology provides the following list of signs and symptoms for Hemophilia B. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormal bleeding - Degenerative joint disease - Gastrointestinal hemorrhage - Joint hemorrhage - Persistent bleeding after trauma - Prolonged partial thromboplastin time - Prolonged whole-blood clotting time - Reduced factor IX activity - X-linked recessive inheritance - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common."
What is (are) Huntington disease ?,"Huntington disease (HD) is an inherited condition that causes progressive degeneration of neurons in the brain. Signs and symptoms usually develop between ages 35 to 44 years and may include uncontrolled movements, loss of intellectual abilities, and various emotional and psychiatric problems. People with HD usually live for about 15 to 20 years after the condition begins. It is caused by changes (mutations) in the HTT gene and is inherited in an autosomal dominant manner. Treatment is based on the symptoms present in each person and may include various medications. There is also a less common, early-onset form of HD which begins in childhood or adolescence. For more information on this form, please visit GARD's juvenile Huntington disease Web page."
How to diagnose Huntington disease ?,"Is genetic testing available for Huntington disease? Yes. Testing of adults at risk for Huntington disease (HD) who have no symptoms of the disease is called predictive testing. Whether to have predictive testing requires careful thought, including pre-test and post-test genetic counseling. This is particularly important because there is currently no cure. Furthermore, predictive testing cannot accurately predict the age a person with an HD mutation will develop symptoms, the severity or type of symptoms they will experience, or the future rate of disease progression. A person may want to have predictive testing because they feel they need to know, or to make personal decisions involving having children, finances, and/or career planning. Other people decide they do not want to know whether they will develop HD. Testing is appropriate to consider in symptomatic people of any age in a family with a confirmed diagnosis of HD. However, testing of asymptomatic people younger than age 18 is not considered appropriate. A main reason is that it takes away the choice of whether the person wants to know, while there is no major benefit to knowing at that age. People who are interested in learning more about genetic testing for HD should speak with a genetics professional. How is Huntington disease diagnosed? A diagnosis of Huntington disease is typically suspected in people with characteristic signs and symptoms of the condition and a family history consistent with autosomal dominant inheritance. The diagnosis can then be confirmed with genetic testing that identifies a specific type of change (mutation) in the HTT gene."
What are the treatments for Huntington disease ?,"How might Huntington disease be treated? Unfortunately, there is currently no cure for Huntington disease (HD). The current goal of treatment is to slow down the course of the disease and help affected people function for as long and as comfortably as possible. Current treatment strategies involve the use of various medications to treat specific symptoms such as abnormal movements and behaviors. Depression and suicide are more common among affected people, so caregivers should monitor for associated symptoms and seek help if necessary. As symptoms of the disease worsen, affected people need more assistance, supervision, and care."
Is Laryngomalacia inherited ?,"Is laryngomalacia inherited? Laryngomalacia may be inherited in some instances. Only a few cases of familial laryngomalacia (occurring in more than one family member) have been described in the literature. In some of these cases, autosomal dominant inheritance has been suggested. Laryngomalacia has also been reported as being associated with various syndromes. In cases where these specific syndromes are inherited, a predisposition to being born with laryngomalacia may be present. However, even within a family, not all individuals affected with one of these syndromes will have the exact same signs and symptoms (including laryngomalacia). Syndromes that have been associated with laryngomalacia include diastrophic dysplasia, alopecia universalis congenital, XY gonadal dysgenesis, Costello syndrome, DiGeorge syndrome, and acrocallosal syndrome. The inheritance pattern depends upon the specific syndrome present."
What are the symptoms of Myofibrillar myopathy ?,"What are the signs and symptoms of Myofibrillar myopathy? Myofibrillar myopathy (MFM) primarily affects skeletal muscles, which are muscles that the body uses for movement. In some cases, the heart (cardiac) muscle is also affected. The signs and symptoms of MFM vary widely among affected individuals, typically depending on the condition's genetic cause. Most people with this disorder begin to develop muscle weakness (myopathy) in mid-adulthood. However, features of this condition can appear anytime between infancy and late adulthood. Muscle weakness most often begins in the hands and feet (distal muscles), but some people first experience weakness in the muscles near the center of the body (proximal muscles). Other affected individuals develop muscle weakness throughout their body. Facial muscle weakness can cause swallowing and speech difficulties. Muscle weakness worsens over time. Other signs and symptoms of MFM can include a weakened heart muscle (cardiomyopathy), muscle pain (myalgia), loss of sensation and weakness in the limbs (peripheral neuropathy), and respiratory failure. Individuals with this condition may have skeletal problems including joint stiffness (contractures) and abnormal side-to-side curvature of the spine (scoliosis). Rarely, people with this condition develop clouding of the front surface of the eyes (cataracts). The Human Phenotype Ontology provides the following list of signs and symptoms for Myofibrillar myopathy. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Arrhythmia - Autosomal dominant inheritance - Autosomal recessive inheritance - Bulbar palsy - Constipation - Diarrhea - Dilated cardiomyopathy - Distal muscle weakness - EMG: myopathic abnormalities - Facial palsy - Hypertrophic cardiomyopathy - Hyporeflexia of lower limbs - Late-onset proximal muscle weakness - Neck muscle weakness - Phenotypic variability - Respiratory insufficiency due to muscle weakness - Restrictive heart failure - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common."
What are the symptoms of Abruzzo Erickson syndrome ?,"What are the signs and symptoms of Abruzzo Erickson syndrome? The Human Phenotype Ontology provides the following list of signs and symptoms for Abruzzo Erickson syndrome. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Cleft palate 90% Displacement of the external urethral meatus 90% Hypoplasia of the zygomatic bone 90% Macrotia 90% Malar flattening 90% Chorioretinal coloboma 50% Iris coloboma 50% Radioulnar synostosis 50% Sensorineural hearing impairment 50% Short stature 50% Ulnar deviation of finger 50% Abnormal localization of kidney 7.5% Abnormality of dental morphology 7.5% Atria septal defect 7.5% Brachydactyly syndrome 7.5% Chin dimple 7.5% Conductive hearing impairment 7.5% Cryptorchidism 7.5% Epicanthus 7.5% Microcornea 7.5% Short toe 7.5% Toe syndactyly 7.5% Coloboma - Hearing impairment - Hypospadias - Protruding ear - X-linked inheritance - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common."
What are the symptoms of Wyburn Mason's syndrome ?,"What are the signs and symptoms of Wyburn Mason's syndrome? The Human Phenotype Ontology provides the following list of signs and symptoms for Wyburn Mason's syndrome. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of the retinal vasculature 90% Abnormality of the skin 90% Aneurysm 90% Peripheral arteriovenous fistula 90% Cerebral palsy 50% Cognitive impairment 50% Hemiplegia/hemiparesis 50% Migraine 50% Seizures 50% Visual impairment 50% Abnormality of eye movement 7.5% Abnormality of retinal pigmentation 7.5% Behavioral abnormality 7.5% Hearing impairment 7.5% Intracranial hemorrhage 7.5% Meningitis 7.5% Nausea and vomiting 7.5% Neurological speech impairment 7.5% Proptosis 7.5% Reduced consciousness/confusion 7.5% Tinnitus 7.5% The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common."
What are the symptoms of Congenital anosmia ?,"What are the signs and symptoms of Congenital anosmia? The Human Phenotype Ontology provides the following list of signs and symptoms for Congenital anosmia. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Anosmia - Autosomal dominant inheritance - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common."
What is (are) Wolffian tumor ?,"Wolffian tumors are rare tumors located anywhere along the length between the ovary and vagina in sites of remnant wolffian ducts. Wolffian ducts are structures in a developing embryo that get incorporated into the reproductive system in males and degenerate in females. Wolffian tumors are thought to have a low potential to become cancerous and tend to range from 0.8 to 25 centimeters in size. Surgery is the recommended treatment. In a small number of cases, recurrences or malignancy have been been reported. Close follow-up is advised."
What are the symptoms of Leber hereditary optic neuropathy with dystonia ?,"What are the signs and symptoms of Leber hereditary optic neuropathy with dystonia? The Human Phenotype Ontology provides the following list of signs and symptoms for Leber hereditary optic neuropathy with dystonia. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of eye movement - Athetosis - Bradykinesia - Dementia - Dysarthria - Dysphagia - Dystonia - Increased CSF lactate - Increased serum lactate - Intellectual disability - Leber optic atrophy - Mitochondrial inheritance - Optic atrophy - Peripheral neuropathy - Scoliosis - Skeletal muscle atrophy - Spasticity - Visual loss - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common."
What is (are) Iridocorneal endothelial syndrome ?,"Iridocorneal endothelial (ICE) syndrome describes a group of eye diseases that are characterized by three main features: Visible changes in the iris (the colored part of the eye that regulates the amount of light entering the eye) Swelling of the cornea, and The development of glaucoma (a disease that can cause severe vision loss when normal fluid inside the eye cannot drain properly) ICE syndrome, is more common in women than men, most commonly diagnosed in middle age, and is usually present in only one eye. The condition is actually a grouping of three closely linked conditions: Cogan-Reese syndrome; Chandler's syndrome; and essential (progressive) iris atrophy. The cause of ICE syndrome is unknown, however there is a theory that it is triggered by a virus that leads to swelling of the cornea. While there is no way to stop the progression of the condition, treatment of the symptoms may include medication for glaucoma and corneal transplant for corneal swelling."
What causes Iridocorneal endothelial syndrome ?,"What causes iridocorneal endothelial (ICE) syndrome? The cause of this disease is unknown. However, it has been theorized that a viral infection, such as Herpes simplex virus (HSV) or Epstein-Barr virus (EBV) may be the trigger that causes the cornea to swell."
What are the symptoms of Hereditary congenital facial paresis ?,"What are the signs and symptoms of Hereditary congenital facial paresis? The Human Phenotype Ontology provides the following list of signs and symptoms for Hereditary congenital facial paresis. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of the eye - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common."
What are the treatments for Myoepithelial carcinoma ?,"How might myoepithelial carcinoma be treated? The treatment for metastatic myoepithelial carcinoma usually begins with surgery to remove the main tumor. Radiation therapy can be used to reduce the chance that the tumor could return in the same location. Recent studies have shown that neutron-based radiation therapy may be more effective than proton-based radiation therapy for treating myoepithelial cancers. There is limited evidence about the usefulness of chemotherapy in treating metastatic myoepithelial cancer, and there are no standard treatment guidelines. However, there are three reports of individuals with metastatic myoepithelial cancer who responded to chemotherapy. In one individual, the metastatic tumors stopped growing during chemotherapy. In the other two individuals, there was no evidence of the metastatic tumors after 14 months for one person and after three years for the other person."
